dataset,regime,detector,fold,PR_AUC,prevalence,pr_lift
ULB,O,OneClassSVM,2,0.0773,0.0013,58.6857
ULB,U,DBSCAN,0,0.1976,0.0021,94.5982
ULB,U,DBSCAN,1,0.0143,0.001,14.2491
ULB,U,DBSCAN,2,0.0288,0.0013,21.8945
ULB,U,Ensemble,0,0.0488,0.0021,23.3611
ULB,U,Ensemble,1,0.0537,0.001,53.6216
ULB,U,Ensemble,2,0.0505,0.0013,38.3426
ULB,U,IsolationForest,0,0.3323,0.0021,159.0831
ULB,U,IsolationForest,1,0.0255,0.001,25.4567
ULB,U,IsolationForest,2,0.0546,0.0013,41.4393
ULB,U,KMeans,0,0.1414,0.0021,67.6734
ULB,U,KMeans,1,0.0268,0.001,26.8005
ULB,U,KMeans,2,0.0505,0.0013,38.3724
ULB,U,LOF,0,0.0012,0.0021,0.5922
ULB,U,LOF,1,0.0013,0.001,1.3304
ULB,U,LOF,2,0.0631,0.0013,47.9318
ULB,U,OneClassSVM,0,0.175,0.0021,83.7558
ULB,U,OneClassSVM,1,0.0313,0.001,31.3267
ULB,U,OneClassSVM,2,0.0773,0.0013,58.6877
