dataset,PaySim,PaySim,ULB,ULB
regime,N,U,N,U
detector,,,,
DBSCAN,"{""min_samples"": 25}","{""eps_scale"": 0.5}","{""eps_scale"": 4.0}","{""min_samples"": 5}"
IsolationForest,"{""n_estimators"": 200}","{""n_estimators"": 200}","{""n_estimators"": 400}","{""n_estimators"": 100}"
KMeans,"{""k"": 32}","{""k"": 32}","{""k"": 32}","{""k"": 16}"
LOF,"{""n_neighbors"": 5}","{""n_neighbors"": 5}","{""n_neighbors"": 20}","{""n_neighbors"": 50}"
OneClassSVM,"{""gamma"": 0.1}","{""gamma"": 0.1}","{""gamma"": ""scale""}","{""gamma"": ""scale""}"
