dataset,regime,detector,config,val_PR_AUC,test_PR_AUC,n_neighbors,k,eps_scale,min_samples,gamma,n_estimators
PaySim,N,LOF,"{""n_neighbors"": 100}",0.0005,0.0078,100.0,,,,,
PaySim,N,LOF,"{""n_neighbors"": 50}",0.0005,0.0077,50.0,,,,,
PaySim,N,LOF,"{""n_neighbors"": 20}",0.0004,0.0075,20.0,,,,,
PaySim,N,LOF,"{""n_neighbors"": 10}",0.0004,0.0072,10.0,,,,,
PaySim,N,LOF,"{""n_neighbors"": 5}",0.0004,0.0068,5.0,,,,,
PaySim,N,KMeans,"{""k"": 32}",0.0114,0.1378,,32.0,,,,
PaySim,N,KMeans,"{""k"": 16}",0.0094,0.1331,,16.0,,,,
PaySim,N,KMeans,"{""k"": 8}",0.0068,0.1129,,8.0,,,,
PaySim,N,KMeans,"{""k"": 4}",0.0048,0.0753,,4.0,,,,
PaySim,N,KMeans,"{""k"": 2}",0.0046,0.075,,2.0,,,,
PaySim,N,DBSCAN,"{""eps_scale"": 0.25}",0.0191,0.2169,,,0.25,,,
PaySim,N,DBSCAN,"{""eps_scale"": 0.5}",0.0191,0.2169,,,0.5,,,
PaySim,N,DBSCAN,"{""min_samples"": 25}",0.0191,0.2169,,,,25.0,,
PaySim,N,DBSCAN,"{""eps_scale"": 2.0}",0.0042,0.0664,,,2.0,,,
PaySim,N,DBSCAN,"{""min_samples"": 5}",0.0042,0.0664,,,,5.0,,
PaySim,N,DBSCAN,"{""eps_scale"": 1.0}",0.0042,0.0665,,,1.0,,,
PaySim,N,DBSCAN,"{""eps_scale"": 4.0}",0.0042,0.0663,,,4.0,,,
PaySim,N,OneClassSVM,"{""gamma"": 0.1}",0.0226,0.2164,,,,,0.1,
PaySim,N,OneClassSVM,"{""gamma"": ""scale""}",0.0223,0.2185,,,,,scale,
PaySim,N,OneClassSVM,"{""gamma"": 0.01}",0.0161,0.1611,,,,,0.01,
PaySim,N,IsolationForest,"{""n_estimators"": 400}",0.0021,0.0709,,,,,,400.0
PaySim,N,IsolationForest,"{""n_estimators"": 200}",0.0021,0.0687,,,,,,200.0
PaySim,N,IsolationForest,"{""n_estimators"": 100}",0.0017,0.0512,,,,,,100.0
