run_id,experiment,dataset,split_type,fold,regime,detector,rho_assumed,rho_used,metric,value,n_test,n_pos_test,check
62b97cd8e123,headline,ULB,chronological,0,U,OneClassSVM,0.005,0.005,score_seconds,7.073774814605713,56962,75,
b021acfdcf90,headline,ULB,chronological,0,U,DBSCAN,0.005,0.005,PR_AUC,0.024725100118224274,56962,75,
b021acfdcf90,headline,ULB,chronological,0,U,DBSCAN,0.005,0.005,ROC_AUC,0.9381904477297097,56962,75,
b021acfdcf90,headline,ULB,chronological,0,U,DBSCAN,0.005,0.005,Precision,0.0,56962,75,
b021acfdcf90,headline,ULB,chronological,0,U,DBSCAN,0.005,0.005,Recall,0.0,56962,75,
b021acfdcf90,headline,ULB,chronological,0,U,DBSCAN,0.005,0.005,F1,0.0,56962,75,
b021acfdcf90,headline,ULB,chronological,0,U,DBSCAN,0.005,0.005,TN,56712.0,56962,75,
b021acfdcf90,headline,ULB,chronological,0,U,DBSCAN,0.005,0.005,FP,175.0,56962,75,
b021acfdcf90,headline,ULB,chronological,0,U,DBSCAN,0.005,0.005,FN,75.0,56962,75,
b021acfdcf90,headline,ULB,chronological,0,U,DBSCAN,0.005,0.005,TP,0.0,56962,75,
b021acfdcf90,headline,ULB,chronological,0,U,DBSCAN,0.005,0.005,n_alerts,175.0,56962,75,
b021acfdcf90,headline,ULB,chronological,0,U,DBSCAN,0.005,0.005,alert_rate,0.003072223587654928,56962,75,
b021acfdcf90,headline,ULB,chronological,0,U,DBSCAN,0.005,0.005,prevalence,0.001316667251852112,56962,75,
b021acfdcf90,headline,ULB,chronological,0,U,DBSCAN,0.005,0.005,lift,0.0,56962,75,
b021acfdcf90,headline,ULB,chronological,0,U,DBSCAN,0.005,0.005,tie_ratio,0.006039219817067787,56962,75,
b021acfdcf90,headline,ULB,chronological,0,U,DBSCAN,0.005,0.005,fit_seconds,0.7106509208679199,56962,75,
b021acfdcf90,headline,ULB,chronological,0,U,DBSCAN,0.005,0.005,score_seconds,0.02588677406311035,56962,75,
c9d76259e46a,headline,ULB,chronological,0,U,KMeans,0.005,0.005,PR_AUC,0.06788595503536499,56962,75,
c9d76259e46a,headline,ULB,chronological,0,U,KMeans,0.005,0.005,ROC_AUC,0.9667539742530513,56962,75,
c9d76259e46a,headline,ULB,chronological,0,U,KMeans,0.005,0.005,Precision,0.09090909090909091,56962,75,
c9d76259e46a,headline,ULB,chronological,0,U,KMeans,0.005,0.005,Recall,0.24,56962,75,
c9d76259e46a,headline,ULB,chronological,0,U,KMeans,0.005,0.005,F1,0.13186813186813187,56962,75,
c9d76259e46a,headline,ULB,chronological,0,U,KMeans,0.005,0.005,TN,56707.0,56962,75,
c9d76259e46a,headline,ULB,chronological,0,U,KMeans,0.005,0.005,FP,180.0,56962,75,
c9d76259e46a,headline,ULB,chronological,0,U,KMeans,0.005,0.005,FN,57.0,56962,75,
c9d76259e46a,headline,ULB,chronological,0,U,KMeans,0.005,0.005,TP,18.0,56962,75,
c9d76259e46a,headline,ULB,chronological,0,U,KMeans,0.005,0.005,n_alerts,198.0,56962,75,
